"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ITGA4",3.92191376490613e-09,-11.9616984971501,0.45,0.913,5.3730218579214e-07
"SLAMF6",3.812147936303e-07,-8.92787910348528,0.3,0.783,5.22264267273511e-05
"KLRD1",1.18213948322872e-06,-9.05775586065254,0.5,0.652,0.000161953109202335
"FAS",2.39277685431208e-06,-6.57484641842411,0.325,0.87,0.000327810429040755
"CD45",6.77619444343146e-06,-5.32238569289548,0.95,0.957,0.00092833863875011
"IL2RB",7.0847465975646e-06,-6.66277598502537,0.125,0.609,0.00097061028386635
"CD81",1.32338334260901e-05,-7.71674103693901,0.125,0.609,0.00181303517937434
"NCR1",2.17402649842253e-05,-8.22502210032898,0.225,0.696,0.00297841630283886
"KLRK1",2.76676799669229e-05,-10.0933683817,0.075,0.522,0.00379047215546844
"CD244",3.07212805040702e-05,-7.02065801570522,0.75,0.739,0.00420881542905762
"SLAMF7",3.70654972414427e-05,-6.18213535323182,0,0.348,0.00507797312207765
"CD7",0.00010021955990328,-9.36969738512927,0.775,0.826,0.0137300797067493
"TFRC",0.000158611599316397,-10.9380615598912,0.175,0.522,0.0217297891063464
"KLRB1",0.000200955178859564,-9.50487696383336,0.125,0.565,0.0275308595037602
"ITGAE",0.000347481535002876,-15.6536221586727,0.075,0.522,0.047604970295394
"CD3D",0.000353484467370849,-4.70465392765971,0.5,0.304,0.0484273720298063
"CD38",0.000481608487790715,-4.38657590048155,0.95,1,0.0659803628273279
"HLA-A",0.000782899761886995,-5.16304160174321,0.5,0.826,0.107257267378518
"ITGAM",0.00161693826617061,-6.53504602480238,0.15,0.261,0.221520542465373
"CD28",0.00265593912873881,-10.3271875463009,0.1,0.435,0.363863660637218
"CD2",0.00319812939824866,-6.79257225908805,0.625,0.565,0.438143727560067
"ICOS",0.00337888891707283,-16.9076498480641,0.225,0.391,0.462907781638978
"CD45RA",0.00490503520602204,-4.29474171554247,0.575,0.696,0.67198982322502
"CD226",0.00599353412992464,-3.20481834955409,0,0.174,0.821114175799675
"LAG3",0.00599353412992465,-7.89618947235915,0,0.174,0.821114175799677
"SELL",0.0075945295898061,-10.2002383832534,0.375,0.739,1
"NCAM1",0.00861272561526694,-13.8319671678746,0.225,0.522,1
"ITGB1",0.0129661942617671,-2.91551994154576,0.8,0.913,1
"ADGRG1",0.0151009107692787,-10.0477096400206,0.45,0.478,1
"IFNGR1",0.0201140923319922,-2.94802122951507,0,0.13,1
"IL7R",0.0201140923319922,-2.64345235034848,0,0.13,1
"CXCR3",0.0201140923319923,-2.86064159707263,0,0.13,1
"C5AR1",0.0201140923319924,-2.88115095630159,0,0.13,1
"KIR2DL1",0.0338201430359123,-7.59900853640372,0.1,0.043,1
"TIGIT",0.037699635345116,-9.23839016879086,0.175,0.391,1
"CD48",0.0385258899330908,-0.836095094024554,0.8,0.957,1
"MCAM",0.047391686422989,-2.28292824270978,0.025,0.217,1
"HLA-E",0.0513020031329389,-2.48525353926057,0.1,0.348,1
"CD82",0.0778571213002226,-4.46347863205165,0.025,0.174,1
"CD36",0.0778731223676525,9.04297759977185,0.1,0,1
"B3GAT1",0.0805411501317584,11.4494540431408,0.25,0.13,1
"SIGLEC7",0.0858122498400926,-16.0316522895057,0.175,0.391,1
"CD69",0.0894895052201573,-6.08183840687301,0.125,0.348,1
"ICAM1",0.090499178052213,0.609884147600373,0.325,0.609,1
"CCR5",0.10170229541118,0.244515993990458,0.05,0.217,1
"ITGAX",0.104840578947949,-6.78939332530642,0.325,0.565,1
"ITGA1",0.1255149511971,-7.5960266256564,0.625,0.435,1
"BTLA",0.128743429702296,-2.37566538248919,0.05,0.217,1
"CD86",0.135489853809151,-10.0446891718194,0.05,0.217,1
"DPP4",0.138071668414525,-1.69821547210332,0.05,0.217,1
"PDCD1",0.154229267105365,-3.51951608915061,0.1,0.217,1
"ENTPD1",0.157362836456803,-22.5371851075734,0.125,0.174,1
"SELP",0.178997184389219,7.70499374788372,0.2,0.043,1
"HLA-DRA",0.242873285849869,-1.37859303154657,0.225,0.13,1
"ITGB7",0.262339390504832,-2.48282471925368,0.075,0.217,1
"CD101",0.326295769939573,4.11444208969123,0.1,0.043,1
"CD99",0.332006395530905,-6.69644161592202,0.975,1,1
"CD5",0.350759328723212,-3.34693228503065,0.325,0.304,1
"FCGR3A",0.370480798137406,-3.80214598586252,0.575,0.652,1
"CD45RO",0.373630214392709,0.975040912341931,0.275,0.391,1
"ITGA2B",0.43233648483859,8.23701736858707,0.125,0.087,1
"ITGB2",0.443058462447081,-0.646904794653834,1,1,1
"CD44",0.4962318573821,3.10146371137438,0.825,0.913,1
"PECAM1",0.498940760635916,1.85910595969899,0.125,0.043,1
"CLEC4C",0.51736753566789,-0.19248414825312,0.05,0.13,1
"CD47",0.628493476289532,0.731299022944936,0.275,0.304,1
"CD27",0.716003304940919,9.65045324589737,0.275,0.217,1
"CD8A",0.719289812015789,-21.4049588953288,0.575,0.652,1
"ITGAL",0.734839404134699,-0.962446721221468,1,1,1
"ITGA2",0.739860792986915,2.3464831338066,0.125,0.087,1
"KIR2DL3",0.740405988617781,-2.60503608232662,0.4,0.304,1
"KLRG1",0.926917803455758,-0.731187745525178,0.175,0.174,1
"ITGA6",0.932812359462643,1.68406907823881,0.175,0.174,1
"TCR-AB",0.98684153515402,0.834006894598648,0.25,0.261,1
