"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS4Y1",5.23548077385861e-45,-2.4628383586967,0.087,0.524,9.32072642170049e-41
"HLA-DPB1",1.58725786198789e-32,2.19386507779834,0.614,0.204,2.82579517169704e-28
"HLA-DPA1",1.01389647830873e-24,2.07551072449568,0.528,0.178,1.80503990033303e-20
"AC004448.2",1.25694447513929e-24,5.40535675569168,0.273,0.009,2.23773824909047e-20
"KLF2",4.77705180975498e-24,2.17975691532541,0.511,0.169,8.50458533690679e-20
"CD3E",1.66126697727996e-21,1.98024684543282,0.509,0.191,2.95755359965152e-17
"STAT1",6.71372515741449e-21,-1.74690351559362,0.279,0.476,1.1952444897745e-16
"S100A4",3.25673600259182e-20,2.05600440735443,0.472,0.16,5.79796710541421e-16
"HLA-DRB1",3.80392697101578e-19,2.49584623962275,0.388,0.102,6.77213118649939e-15
"FGFBP2",4.37291445211078e-19,1.41738955764795,0.724,0.458,7.78509959909281e-15
"KLRC2",5.25674147090327e-19,1.3530403786933,0.726,0.56,9.35857684064909e-15
"GZMH",1.46356255321749e-18,1.1330672689844,0.782,0.529,2.60558041349309e-14
"CRIP1",1.36250044174729e-17,0.999086845666707,0.82,0.578,2.42565953644269e-13
"HAPLN3",9.68525838790675e-17,-3.88577956890878,0.017,0.16,1.72426655079904e-12
"HLA-G",1.29321763020493e-16,-4.5815102842168,0.007,0.133,2.30231534705383e-12
"GBP5",2.93911059654267e-16,-0.994099127685197,0.538,0.587,5.23249859502492e-12
"LINC01871",5.77286357118646e-16,3.0130710073767,0.279,0.053,1.02774290157833e-11
"EIF1AY",6.15167813598217e-16,-5.12832615548276,0.004,0.116,1.09518325854891e-11
"GBP4",7.93214926728374e-16,-1.22779912513634,0.332,0.467,1.41216053405453e-11
"CALHM6",1.07585513208325e-15,-2.44177589498202,0.049,0.24,1.91534489164782e-11
"S100A6",3.75259199886684e-15,1.26682088619572,0.609,0.351,6.68073953558264e-11
"KLRB1",6.23558535051197e-15,-0.692482683623643,0.638,0.867,1.11012125995165e-10
"CYBA",2.11377450608681e-14,0.48573730269921,0.981,0.938,3.76315275318636e-10
"CD52",3.62078825973601e-14,1.47022725060954,0.522,0.249,6.44608933880801e-10
"TCAF2",1.86141962453396e-13,-1.27748274138477,0.229,0.484,3.31388535755782e-09
"LAG3",3.69717844145149e-13,2.44618421611378,0.265,0.058,6.58208677931608e-09
"IL12RB2",6.16501882915845e-13,-2.43239833143609,0.036,0.191,1.09755830215508e-08
"PGK1",8.14894803068717e-13,-0.80337826327485,0.646,0.827,1.45075721790324e-08
"TPI1",8.41544318362681e-13,-0.812695817763017,0.788,0.849,1.49820134998108e-08
"PLAC8",2.10350749471176e-12,-0.99889712547045,0.39,0.613,3.74487439283535e-08
"HLA-DRB5",6.22045008728502e-12,3.29461637557503,0.196,0.04,1.10742672903935e-07
"SH3BGRL3",6.35947897779741e-12,0.599313169913455,0.956,0.88,1.13217804241727e-07
"HLA-DRA",6.65348052768714e-12,2.51998294604521,0.221,0.04,1.18451913834414e-07
"STK17A",7.91858049328018e-12,-0.653852054142838,0.759,0.889,1.40974488521867e-07
"PRKY",9.37607124148511e-12,-2.96513386708557,0.024,0.151,1.66922196312159e-07
"TCF7",1.04625453235498e-11,-1.62688028574383,0.142,0.351,1.86264694395157e-07
"UTY",1.80501744928569e-11,-3.04392202474294,0.014,0.124,3.21347256496331e-07
"CD38",3.62784040061333e-11,-1.19057009126574,0.295,0.476,6.45864426521191e-07
"TXNIP",3.74871294497083e-11,1.07511411362787,0.63,0.444,6.67383365593158e-07
"CXCL8",7.22134088710784e-11,-3.39263445196342,0.014,0.111,1.28561531813181e-06
"USP9Y",7.22666457026788e-11,-2.81615530309486,0.019,0.133,1.28656309344479e-06
"RPS4X",7.59912240692842e-11,0.382741664945812,0.996,0.973,1.35287176210547e-06
"LYAR",1.25078249374612e-10,0.943116436318324,0.64,0.431,2.22676807361621e-06
"PRSS23",1.84311242528796e-10,2.61620897045646,0.196,0.036,3.28129305074016e-06
"CCL5",1.88869955879659e-10,0.254547693008831,0.924,0.76,3.36245182452556e-06
"C12orf75",2.72926922497271e-10,0.893237710554297,0.64,0.422,4.85891800121892e-06
"HLA-B",3.69595732972677e-10,0.271166477844851,1,1,6.57991283411258e-06
"MIF",4.68296455646265e-10,-0.622900320686462,0.84,0.858,8.33708179987046e-06
"CEBPD",6.60378204461493e-10,-0.803222646837119,0.465,0.676,1.1756713174028e-05
"ENO1",1.12759700500843e-09,-0.63744213650631,0.659,0.822,2.00746094801652e-05
"CLEC2B",1.14044623598913e-09,-0.541439169895453,0.811,0.862,2.03033643393145e-05
"NFKBIA",1.33908208529272e-09,-0.779496852907156,0.497,0.64,2.38396783644663e-05
"IFITM1",1.52494112394992e-09,-0.53601450263144,0.983,0.969,2.71485268296804e-05
"PIM2",2.30578297448297e-09,-1.3081574233036,0.196,0.338,4.10498542947203e-05
