"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD45",9.27625612382598e-42,-8.34468362156084,0.823,0.925,1.27084708896416e-39
"SLAMF6",3.22640296637985e-34,-4.63895752554364,0.272,0.821,4.4201720639404e-32
"CD2",3.18483913665444e-33,-7.90491958833586,0.481,0.679,4.36322961721658e-31
"CD3D",2.21595084236405e-30,-3.86739395217262,0.548,0.726,3.03585265403875e-28
"CD45RA",8.49576999675854e-29,-4.38888843568956,0.693,0.811,1.16392048955592e-26
"PECAM1",7.24441843191013e-21,-7.27973489999584,0.099,0.491,9.92485325171688e-19
"CD28",1.74181077577314e-20,-6.35308414298484,0.406,0.802,2.3862807628092e-18
"CD52",4.22582209544914e-20,-2.37912279754059,0.205,0.679,5.78937627076532e-18
"CD101",6.25668886803047e-18,-12.6189732322134,0.032,0.377,8.57166374920174e-16
"HLA-A",1.1416533061595e-17,-4.27034250593821,0.378,0.745,1.56406502943851e-15
"ITGAL",2.39709168848671e-17,-2.8077959667214,0.742,0.934,3.2840156132268e-15
"CD5",1.36682595813881e-16,-4.72979858595112,0.569,0.736,1.87255156265016e-14
"CD47",1.58039713165419e-16,-3.0170716637588,0.286,0.623,2.16514407036624e-14
"ITGA4",1.26092412940956e-15,-4.81732360548516,0.442,0.755,1.72746605729109e-13
"KLRB1",1.48062717667879e-14,-5.81113203762214,0.64,0.868,2.02845923204994e-12
"CD8A",3.67358817450125e-14,-1.94846993247936,0.29,0.613,5.03281579906671e-12
"ICOS",4.3123575343848e-13,-8.68452171209993,0.339,0.698,5.90792982210717e-11
"KLRG1",5.44797403272164e-12,-6.32969116361221,0.389,0.528,7.46372442482865e-10
"CD7",4.00299329724434e-11,-4.37748926332073,0.883,0.906,5.48410081722475e-09
"DPP4",1.38675294976976e-09,-0.432630522538862,0.735,0.906,1.89985154118457e-07
"CD33",7.85502670918363e-09,1.79764997700719,0.053,0.292,1.07613865915816e-06
"IFNGR1",8.53174386689381e-09,-5.28155533890766,0.007,0.17,1.16884890976445e-06
"ANPEP",1.31237876527275e-08,-5.50265837451796,0.042,0.245,1.79795890842367e-06
"CD45RO",1.82709534210673e-08,-3.57177477460793,0.163,0.434,2.50312061868622e-06
"CD58",4.592868848264e-08,-4.48529298985887,0.018,0.189,6.29223032212169e-06
"KLRK1",8.47022864960106e-08,-3.84915298370274,0.067,0.283,1.16042132499535e-05
"CD38",9.04060288004663e-08,-3.09076108237071,0.092,0.321,1.23856259456639e-05
"IL7R",1.57465999778337e-07,-1.89050017882457,0.601,0.736,2.15728419696322e-05
"CCR4",4.48123607467899e-07,-4.54149863588246,0.272,0.292,6.13929342231022e-05
"ITGAM",5.07364352790573e-07,-3.36140977606128,0.067,0.274,6.95089163323085e-05
"CD4",7.02339546158901e-07,-8.09316433704363,0.159,0.123,9.62205178237694e-05
"ITGB2",7.56632779220672e-07,-12.6354123632534,0.876,0.934,0.000103658690753232
"FCGR2A",4.07565941465155e-06,-5.77788412099184,0.011,0.132,0.000558365339807262
"CD226",6.87608601333972e-06,-4.7309981348851,0.018,0.151,0.000942023783827542
"GGT1",9.24711291994013e-06,-1.69683373980042,0.269,0.519,0.0012668544700318
"CD81",1.26380990802744e-05,-3.29918219064927,0.046,0.208,0.0017314195739976
"C5AR1",1.41482192194102e-05,-3.35191963283557,0.028,0.17,0.00193830603305919
"CR1",1.53508159709402e-05,-8.20626553174388,0.495,0.585,0.0021030617880188
"IL3RA",1.7188216687642e-05,-3.40000388598897,0.035,0.179,0.00235478568620695
"ICAM1",1.75306406861903e-05,-0.31044160888889,0.155,0.358,0.00240169777400807
"CD48",2.72503303405988e-05,-0.947266496880784,0.993,0.972,0.00373329525666203
"SELL",4.01313345026926e-05,9.36573922075378,0.912,0.84,0.00549799282686889
"ENTPD1",4.12234891066029e-05,-3.2898517282436,0.039,0.179,0.00564761800760459
