"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTRNR2L12",1.35989954761523e-123,-2.66312422645705,0.124,0.941,2.42102916461939e-119
"RBFOX2",2.7852067407088e-97,4.61763570607211,0.794,0.137,4.95850356048387e-93
"APOO",2.01942981917409e-90,5.02367733253556,0.763,0.093,3.59519090707563e-86
"MT-ATP6",7.95243894449692e-88,-2.04931326201093,0.828,0.907,1.41577270528879e-83
"MT-ATP8",1.61312071943785e-74,1.74843860762853,0.97,0.868,2.87183881681521e-70
"FP236383.3",6.44675867685674e-73,2.06356783392055,0.895,0.289,1.14771644724081e-68
"PTPRCAP",6.34165322916888e-50,2.1219221101355,0.821,0.461,1.12900452438894e-45
"FP671120.4",3.740498710818e-48,0.43052985132705,0.782,0.265,6.65920985486929e-44
"AL138963.4",2.97653856395799e-46,-2.3343545178867,0.263,0.725,5.29913160541441e-42
"AC138123.1",1.19235323378522e-33,1.27167552310909,0.706,0.255,2.12274646210783e-29
"VEGFB",1.2340223600747e-30,-1.20727392772107,0.461,0.848,2.19693000764099e-26
"GNAS",2.92507127372566e-29,-0.851739328565806,0.762,0.956,5.20750438861379e-25
"PDE3B",3.00426592708545e-27,1.22535004547387,0.892,0.735,5.34849462999023e-23
"GBP5",3.5545513665291e-27,3.95996398705611,0.446,0.093,6.32816779783175e-23
"PPP1R15A",1.02168865299174e-24,-1.78286908791554,0.184,0.544,1.8189123089212e-20
"PGK1",1.04633964744767e-23,-0.833504564295935,0.896,0.966,1.86279847435109e-19
"STAT1",2.52445519284116e-22,2.824054609962,0.532,0.25,4.49428757981512e-18
"ENO1",6.20196282672287e-21,-0.72813727090695,0.929,0.995,1.10413544204147e-16
"EIF1",8.12419611610816e-20,-0.515324122765878,0.988,0.995,1.44635063455074e-15
"TSC22D3",1.64755277582717e-19,-1.2091668381301,0.486,0.765,2.93313820680511e-15
"KLF6",2.65380108032495e-19,-1.37326118917911,0.334,0.627,4.72456206330251e-15
