"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FCGR1A",4.32416048546472e-96,21.6887097969868,0.884,0.498,5.92409986508667e-94
"CD58",7.69592666822208e-77,5.133524103945,0.577,0.147,1.05434195354642e-74
"ITGB2",2.92930867067685e-67,3.85002246695432,0.983,0.983,4.01315287882728e-65
"SIGLEC1",1.18830587053283e-65,9.96229749397763,0.498,0.074,1.62797904262997e-63
"CD14",1.77012748154376e-62,19.2264292930106,0.709,0.385,2.42507464971495e-60
"FAS",3.66210729668452e-60,4.94254129161232,0.665,0.273,5.01708699645779e-58
"IFNGR1",1.81252338873218e-59,8.57683640403603,0.454,0.067,2.48315704256308e-57
"C5AR1",1.37243671620315e-55,5.910159184844,0.845,0.623,1.88023830119831e-53
"LILRB1",5.44761453122606e-55,5.17932378333602,0.467,0.074,7.4632319077797e-53
"IGKC",1.65117823263122e-50,2.46598402492979,0.51,0.115,2.26211417870477e-48
"SLAMF7",1.67994859866843e-44,10.3662238787298,0.411,0.076,2.30152958017575e-42
"CD45RA",3.49955283038957e-44,3.44681875410882,0.562,0.896,4.79438737763371e-42
"HLA-A",7.95095799096277e-44,3.49452903673676,0.825,0.539,1.0892812447619e-41
"CD45",9.59798399052762e-44,3.21860828405415,0.969,0.894,1.31492380670228e-41
"CLEC12A",4.10285622214913e-43,4.03011182424403,0.983,0.961,5.62091302434431e-41
"FCGR2A",4.86919340955228e-41,8.06793817322897,0.824,0.619,6.67079497108662e-39
"OLR1",5.9444136136685e-41,14.7864073567255,0.648,0.47,8.14384665072584e-39
"ENTPD1",6.8018802687102e-41,7.34172593325104,0.716,0.491,9.31857596813297e-39
"ITGAM",1.35491856657703e-40,8.51485550667989,0.907,0.823,1.85623843621053e-38
"Human-Ig",4.33272417462715e-40,3.65288698089768,0.363,0.052,5.9358321192392e-38
"GGT1",1.03018396334732e-34,4.03938682638137,0.636,0.396,1.41135202978583e-32
"CD44",2.75084127461407e-34,4.74541186285709,0.993,0.991,3.76865254622127e-32
"CD33",7.87232660052895e-34,6.39858674615765,0.944,0.92,1.07850874427247e-31
