"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RBFOX2",2.80527356273988e-59,-1.62212017310188,0.601,0.978,4.9942285237458e-55
"APOO",6.07461060309222e-59,-2.06859552119801,0.406,0.948,1.08146292566851e-54
"RPS29",1.42096136699348e-37,-0.857813152529564,0.997,0.996,2.52973752165849e-33
"FOS",6.57571979439571e-30,4.84882013563703,0.483,0.065,1.17067539499627e-25
"TPT1",7.7117976879353e-30,-0.626737863045353,1,1,1.37293134238312e-25
"GNAS",9.88688843728522e-30,1.37994161459679,0.899,0.72,1.76016274848989e-25
"RPS4Y1",8.69091535763946e-29,-2.9122247848335,0.06,0.474,1.54724366112055e-24
"RPL13A",7.78568283626131e-28,-0.934951557051674,0.94,0.978,1.3860851153396e-23
"RPL37A",1.25236646489646e-27,-0.691108221221406,0.993,1,2.22958801745516e-23
"PTPRCAP",6.16100621961731e-27,-1.02505468741851,0.705,0.94,1.09684393727847e-22
"RPS16",1.05758806595188e-25,-0.809276921377958,0.993,1,1.88282403381413e-21
"RPS3A",2.71349551064762e-25,-0.531978293342092,1,1,4.83083605760596e-21
"RPLP2",3.60558992668918e-23,-0.513051468077268,1,1,6.41903174648475e-19
"EMP3",7.65053116737464e-23,0.636025561500376,1,0.974,1.36202406372771e-18
"STAT1",4.6121285049198e-22,-1.89634155394534,0.379,0.659,8.21097237730873e-18
"GAREM1",6.7271003841568e-21,1.95197084782003,0.54,0.302,1.19762568139144e-16
"RPS27A",1.91878939532066e-20,-0.38363734764151,1,1,3.41602076048936e-16
"RPL4",5.27924928240727e-20,-0.666234021400344,0.96,1,9.39864749746966e-16
"IRF1",9.63289610132635e-19,-1.29317241582592,0.584,0.784,1.71494449291913e-14
"MT-CO1",1.69202878618847e-18,-0.491206663559423,0.997,1,3.01231884805133e-14
"DUSP1",1.94895342402791e-18,2.30954632887933,0.56,0.216,3.46972178079689e-14
"PPP1R15A",1.98727297069336e-18,2.37091328532176,0.487,0.151,3.53794206972539e-14
"JUND",4.8613452922225e-18,1.23686122536327,0.859,0.651,8.65465302374371e-14
"RPL37",1.77281035497181e-17,-0.408968983733988,1,1,3.15613427495631e-13
"RPL38",2.43706814548218e-17,-0.603071052129968,0.96,0.987,4.33871241940192e-13
"MTRNR2L12",4.11461164126259e-17,6.89462747239834,0.211,0.039,7.32524310493979e-13
"H3F3B",4.39226413834817e-17,0.634376094869158,0.993,0.966,7.81954784550125e-13
"RPSA",5.50683802778511e-17,-0.533481971747696,0.993,1,9.80382374086584e-13
"KLF6",5.64142288967127e-17,1.22395255311641,0.805,0.578,1.00434251704818e-12
"FP236383.3",1.05780492410916e-16,-0.37561329634913,0.799,1,1.88321010639153e-12
"RPS2",1.92660028540986e-16,-0.612266803205863,0.997,1,3.42992648811518e-12
"RPS8",2.74624711737064e-16,-0.416246538167089,1,1,4.88914374305494e-12
"GBP1",2.86414214815883e-16,-2.30498828223687,0.181,0.422,5.09903226636717e-12
"CRIP1",4.35343432196186e-16,0.755945376645102,0.977,0.81,7.7504191233887e-12
"RPS21",5.09692180937279e-16,-0.372652933112597,1,1,9.07404989722639e-12
"RPL27A",5.49001674120784e-16,-0.747619921659848,0.916,0.944,9.77387680437233e-12
"TLE5",6.03580186268399e-16,0.559327366675957,0.99,0.978,1.07455380561363e-11
"SARAF",9.11617683238385e-16,0.608459913660957,1,0.987,1.6229529614693e-11
"MT-CO3",1.28092869886627e-15,-0.518140674697141,0.977,1,2.28043736259162e-11
"ARHGDIB",3.72084277183406e-15,0.554150484526495,0.997,0.97,6.62421638669618e-11
"MT-ATP8",4.51139716276619e-15,-0.548525616560599,0.946,1,8.03164036887266e-11
"GRK2",4.79993114285982e-15,1.40959700543811,0.611,0.267,8.54531741363335e-11
"HLA-A",7.37793711749543e-15,-0.349149516766413,1,1,1.31349414502771e-10
"EEF1A1",4.35513605766298e-14,-0.305030290645491,1,1,7.7534487234574e-10
"RPS26",4.66108180360894e-14,-0.359379925528422,1,1,8.298123934965e-10
"RPS10",5.72079182225353e-14,-1.14381153149587,0.443,0.694,1.0184725681158e-09
"TAGLN2",6.29058700489743e-14,0.574015400492403,0.993,0.966,1.11991320448189e-09
"EEF1G",8.6597396551212e-14,-0.487538616775566,0.99,0.996,1.54169345080123e-09
"TSC22D3",1.03099148371202e-13,1.25118906707258,0.718,0.448,1.8354741384525e-09
"TRBJ2-2P",1.20887253879572e-13,6.63701979138467,0.154,0,2.15215578081802e-09
"RPS6",1.3938478757054e-13,-0.404520671106514,1,0.996,2.48146737311833e-09
"GBP4",2.07442484618031e-13,-1.97948695975353,0.232,0.483,3.69309855365481e-09
"FTL",4.24042473593847e-13,0.42637956261649,0.997,0.996,7.54922815739127e-09
"RPL27",4.8024312626749e-13,-0.465950365967204,0.993,0.996,8.54976837694012e-09
"GBP5",1.27484971803759e-12,-2.28433625728963,0.205,0.431,2.26961495302232e-08
"KLF13",1.81717969846542e-12,1.17553278896235,0.691,0.427,3.23512501717799e-08
"JUN",2.35349950075702e-12,1.54851164695271,0.53,0.233,4.18993516119773e-08
"ANK2",2.4231044098479e-12,-2.12161163071936,0.128,0.388,4.31385278085222e-08
"RPL21",3.31693224434142e-12,-0.418921947010233,0.997,1,5.90513447460103e-08
"UBA52",3.70327094386903e-12,-0.389549815548616,0.997,0.996,6.59293326137004e-08
"AL138963.4",5.70583669670303e-12,2.47658361138256,0.416,0.181,1.01581010711404e-07
"HPGDS",6.18112830349394e-12,8.11553309466314,0.134,0,1.10042627187103e-07
"ZFAS1",7.93962280733334e-12,0.888653914577695,0.893,0.823,1.41349104838956e-07
"VEGFB",1.26904846609516e-11,1.15738305785356,0.654,0.414,2.25928698418922e-07
"MT-CYB",1.33941351736427e-11,-0.586367193354846,0.963,0.996,2.38455788496361e-07
"NPEPPS",1.42785493702549e-11,-1.21872548182777,0.376,0.634,2.54201014438648e-07
"ITM2C",1.48376322833086e-11,1.19420745699161,0.654,0.414,2.64154367539742e-07
"CIRBP",1.71595365338805e-11,0.772096988381403,0.872,0.716,3.05491228912674e-07
"MAZ",1.79553697405764e-11,1.23204949605403,0.624,0.388,3.19659447491481e-07
"CORO1B",1.93894166988743e-11,1.50051335080238,0.507,0.254,3.45189785490059e-07
"HLA-C",2.09781812981528e-11,-0.386465298607962,1,1,3.73474561651015e-07
"MT-ND1",3.03815462470877e-11,-0.63623474028889,0.926,0.97,5.40882667836903e-07
"GPSM3",3.99440099924969e-11,0.57025215481815,0.96,0.845,7.11123209896422e-07
"HAPLN3",4.01853447999391e-11,-1.71271910747069,0.195,0.431,7.15419693473316e-07
"PCBP1",4.93361671016918e-11,0.479205491436983,0.997,0.948,8.78331782911419e-07
"GPI",5.25452827496292e-11,1.16182738220209,0.799,0.629,9.35463668791649e-07
"RPS27",8.02237343609896e-11,-0.278105352283847,1,1,1.4282231428287e-06
"RPL13",9.69572453697961e-11,-0.28235076661948,1,1,1.72612983931848e-06
"AL133415.1",1.26937334484945e-10,1.85164489055062,0.372,0.142,2.25986536583547e-06
"PTGDR2",1.5692445015441e-10,6.82062280632506,0.117,0,2.79372598609897e-06
"SAMD1",1.69099556392292e-10,2.89496581705702,0.221,0.034,3.01047940245197e-06
"TUBA1A",1.72591825785692e-10,1.02415890577392,0.708,0.457,3.07265227446267e-06
"RPL3",1.90705003497024e-10,-0.355593348410657,1,0.996,3.39512117725751e-06
"GAPDH",2.65872852080385e-10,0.616133620678121,1,0.991,4.7333343855871e-06
"GYPC",3.15952291929105e-10,0.542133909305856,0.973,0.922,5.62489865321386e-06
"HNRNPA1",3.75748676018606e-10,-0.586207434030318,0.795,0.918,6.68945367915925e-06
"RPL34",4.43341008309645e-10,-0.277124915582585,1,1,7.89279997093661e-06
"PSME1",5.16424349184484e-10,-0.540709460021208,0.95,0.957,9.19390268853137e-06
"RPL22",6.35772344175615e-10,-0.404184536624333,0.993,0.991,1.13186550433585e-05
"DDIT3",7.75926365222069e-10,2.0056911045558,0.336,0.112,1.38138170800485e-05
"RPL10A",1.0518485169355e-09,-0.448309666389431,0.993,1,1.87260591470027e-05
"S100A4",1.21344949182712e-09,0.764590941565014,0.906,0.754,2.16030413029983e-05
"RPS3",1.23015217868775e-09,-0.250151046003042,1,1,2.19003992371779e-05
"UTY",1.37534900185524e-09,-4.34201539120943,0.007,0.134,2.44853382800289e-05
"EIF1",1.73044834855132e-09,0.385942125415163,1,1,3.08071719492592e-05
"S1PR4",1.84287496225841e-09,0.729963186929155,0.866,0.664,3.28087029530865e-05
"PPDPF",2.60343489679551e-09,0.496217834131683,0.966,0.853,4.63489514676505e-05
"MT-ND4",2.61621490387365e-09,-0.592801663792967,0.852,0.927,4.65764739336626e-05
"GNAI2",2.84687898586814e-09,0.623244551321779,0.856,0.728,5.06829865854105e-05
"CD74",3.30615460119014e-09,-0.767275087402573,0.809,0.888,5.88594703649881e-05
"ALOX5AP",3.62487943303176e-09,0.994034579806437,0.718,0.491,6.45337285462643e-05
"LGALS12",3.83865325018099e-09,6.7583632840914,0.101,0,6.83395438129722e-05
"P4HB",3.84881496342325e-09,0.752161133183237,0.829,0.621,6.85204527938242e-05
"EPSTI1",4.49509235712642e-09,-1.32378878379204,0.248,0.457,8.00261292339217e-05
"NOP53",5.89955108306264e-09,-0.565929031889497,0.879,0.922,0.000105029707931764
"CDC25B",6.21589193018787e-09,1.06603907064723,0.523,0.263,0.000110661524033135
"HLA-E",6.28605830652805e-09,0.453211148057872,1,0.987,0.000111910696031119
"RPL6",6.85231136360476e-09,-0.299041331706343,0.997,1,0.000121991699206256
"MT-ND5",7.4831526766589e-09,-0.576356999312265,0.926,0.957,0.000133222567102558
"DDX5",8.66268253645219e-09,0.481330484591259,0.963,0.935,0.000154221737196458
"SELPLG",1.09974048247733e-08,0.781347023785174,0.765,0.573,0.000195786798095439
"CLIC1",1.57842657280719e-08,0.530827838018415,0.94,0.802,0.000281007282756864
"TRIM22",1.73175893762534e-08,-1.20741980747407,0.329,0.53,0.000308305043665439
"ANXA1",1.80169021390868e-08,0.486498026232297,0.96,0.897,0.000320754908782162
"TMBIM1",2.17592121950543e-08,1.12789483068932,0.483,0.237,0.000387379254708551
"RPL39",2.36031420761673e-08,-0.240577273990239,1,1,0.000420206738382007
"AC099063.1",2.77218524213253e-08,-4.02258502666182,0.013,0.129,0.000493532138656854
"RHBDD2",3.0949008286864e-08,1.37799876974623,0.423,0.207,0.00055098519453104
"PRKY",3.5424642703166e-08,-3.54222798082057,0.017,0.138,0.000630664914044464
"CSNK2A2",3.66057207366847e-08,2.09175574801495,0.238,0.06,0.000651691646275197
"TMX4",4.65012845278674e-08,1.37712295443761,0.356,0.138,0.000827862368449623
"AC044849.1",4.99298523050787e-08,2.55234463492241,0.195,0.039,0.000888901160587315
"RPS11",6.06230014795756e-08,-0.445899746657688,0.953,0.957,0.00107927129534088
"GBP2",6.24007941089978e-08,-0.912832812439268,0.567,0.677,0.00111092133752249
"CTSD",6.78068432853852e-08,1.00440380397362,0.564,0.328,0.00120716523100971
"HSPA5",7.17787575287021e-08,0.749141437099668,0.768,0.582,0.00127787722028348
"VIM",7.45116790654978e-08,0.477487789581517,0.983,0.918,0.00132653142240306
"SH3BGRL3",7.91687909597635e-08,0.398276519254813,1,0.996,0.00140944198545667
"RPS5",8.12274821210551e-08,-0.293341532235186,1,0.996,0.00144609286420114
"FDFT1",9.04199712517872e-08,0.835622706753612,0.695,0.504,0.00160974674819557
"RPL15",9.59418989022862e-08,-0.295382752369477,0.997,1,0.0017080536261574
"RORC",9.65611866203531e-08,3.36406242151651,0.144,0.017,0.00171907880540215
"EEF1B2",1.03448316526228e-07,-0.385010103803197,0.973,0.991,0.00184169037911643
"UBC",1.11630105780033e-07,0.480998232061526,0.973,0.901,0.00198735077320193
"TKT",1.15451355537876e-07,0.709654206061738,0.742,0.539,0.00205538048264081
"GLRX",1.34253131807819e-07,0.750365472251645,0.735,0.586,0.0023901085055746
"LAT",1.40729171635596e-07,0.783393286789878,0.728,0.539,0.00250540144262851
"RAC2",1.46663250840016e-07,0.409006317482456,0.98,0.909,0.0026110458547048
"IFITM2",1.55746819926395e-07,0.504580695683247,0.993,0.974,0.00277276063514961
"PHF1",1.81188631971118e-07,1.1174741554715,0.443,0.22,0.00322570121498182
"SRSF5",1.97862487993578e-07,0.486264666576619,0.936,0.875,0.00352254587374967
"HNRNPDL",2.04269069487917e-07,0.581551298447556,0.883,0.728,0.00363660224409338
"DIPK1A",2.19258994825645e-07,-1.22415942442092,0.215,0.422,0.00390346788488097
"GPR146",2.21164847853403e-07,2.11246105163049,0.232,0.073,0.00393739778633413
"GPR171",2.36533039677309e-07,-0.911288629581249,0.426,0.552,0.00421099770537513
"ARPC2",2.87483850189125e-07,0.410712006294454,0.96,0.927,0.00511807498491699
"ARGLU1",3.43511215975062e-07,0.481758756118657,0.745,0.517,0.00611553017800403
"TCAF2",3.92350938729219e-07,-0.989642537384925,0.413,0.578,0.00698502376219628
"S100A6",4.07619834998795e-07,0.477544083120974,0.987,0.966,0.00725685592248354
"RPS14",4.99031060933645e-07,-0.254006777955317,1,1,0.00888424997780168
"LCK",5.08601562675511e-07,0.486612474535298,0.909,0.797,0.00905463362031212
"IMMP2L",5.13870689124332e-07,-1.54871716050486,0.138,0.302,0.00914843987848049
"ZNHIT1",6.25993939734218e-07,0.764557494819512,0.607,0.379,0.0111445701090883
"APOL6",6.4705754102209e-07,-1.31561062697381,0.181,0.358,0.0115195654028163
"RASSF1",6.62559129206548e-07,1.2187931311403,0.406,0.203,0.0117955401772642
"BAIAP2L1",8.3271157282334e-07,-1.90217960191812,0.047,0.19,0.0148247641309739
"SCAND1",8.66863801726585e-07,0.753295101546764,0.701,0.513,0.0154327762621384
"GIMAP5",8.67141038184261e-07,-0.637281839253514,0.711,0.797,0.0154377119027944
"UBE2M",9.47813963340565e-07,0.941869828229742,0.497,0.276,0.0168739319893521
"DDX3Y",9.85396585617371e-07,-2.2925862802444,0.034,0.164,0.0175430154137461
"BCKDHA",1.01079828197546e-06,1.11895348159152,0.413,0.203,0.017995241814009
"EIF4H",1.04585815514997e-06,0.808248126441111,0.601,0.388,0.0186194127361349
"S100A10",1.07114154590437e-06,0.400602121902458,0.987,0.97,0.0190695329417355
"GPX4",1.59778528417357e-06,0.503510863661426,0.872,0.716,0.0284453714141421
"TMEM123",1.60067280839404e-06,0.55334655588576,0.829,0.664,0.028496778007839
"POLR2C",1.70955666602012e-06,1.11935230369409,0.342,0.151,0.0304352373251561
"DGUOK",1.81531267591405e-06,0.708564635901674,0.674,0.47,0.0323180115692978
"RPL5",1.86511501200796e-06,-0.25906297810923,1,1,0.0332046425587777
"NCBP2AS2",1.9828202629586e-06,0.817397655381936,0.44,0.233,0.0353001491414519
"SEPTIN9",2.05679000954965e-06,0.503670427197186,0.889,0.78,0.0366170325400125
"UBE2L6",2.11240555898377e-06,-0.631010318471368,0.597,0.69,0.037607156166588
"AC089983.1",2.34387597615583e-06,-1.342534255166,0.111,0.284,0.0417280240035022
"LDHA",2.51001632438841e-06,0.652834948229192,0.963,0.914,0.0446858206230868
"RPS20",2.54601281588399e-06,-0.648175318452483,0.554,0.681,0.0453266661611827
"MT-ND6",2.67235360929046e-06,-0.768608920165142,0.638,0.75,0.047575911306198
"TMED10",2.95964234713089e-06,0.474425345082843,0.705,0.491,0.0526905127059712
"CBWD5",2.96141928275708e-06,-1.5526473925047,0.117,0.272,0.0527221474909244
"ENO2",3.08459359746909e-06,1.15171150189743,0.45,0.259,0.0549150198157422
"TAP1",3.28185361641943e-06,-0.55730450511216,0.624,0.647,0.058426839933115
"FXYD5",3.98478153888467e-06,0.410243777710806,0.99,0.97,0.0709410657367638
"IFI6",3.99145627460087e-06,-1.06222533800595,0.272,0.323,0.0710598960567193
"CAPN2",4.17019754868215e-06,0.873872290185487,0.487,0.276,0.0742420269591884
"YPEL3",4.19720633062311e-06,0.501867128193637,0.893,0.784,0.0747228643040832
"AMBRA1",4.81952614797464e-06,-1.31113839562944,0.134,0.306,0.0858020240123925
"MT-CO2",4.8836742521153e-06,-0.297768488131718,0.993,1,0.0869440527104086
"EVL",4.98100694173993e-06,0.367967210642028,0.903,0.888,0.0886768665837959
"DDRGK1",5.47018377737672e-06,1.1367163724992,0.376,0.185,0.0973856817886377
"USP9Y",5.954466968953e-06,-2.81023158106611,0.023,0.125,0.10600737544827
"OOEP",6.16888404276493e-06,-1.06617607393174,0.248,0.422,0.109824642613344
"RPL36",6.16987884134894e-06,0.195675177289565,1,1,0.109842353012535
"NR1D1",6.38312421572491e-06,1.86226096100925,0.188,0.052,0.113638760412551
"CD2",6.62234965680253e-06,-1.14424460257426,0.252,0.422,0.117897690940055
"PIGK",6.63671983155449e-06,-1.21562666585139,0.168,0.28,0.118153523161165
