"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"APOO",7.24845210739226e-301,-1.10511545306323,0.551,0.974,1.29044192867904e-296
"RBFOX2",1.24075301363549e-259,-0.773524581312306,0.62,0.988,2.20891259017527e-255
"RPS16",5.92199422415391e-190,-0.607513838022621,0.972,0.998,1.05429263172612e-185
"RPL13A",6.127215882427e-174,-0.695211284631327,0.931,0.994,1.09082824354848e-169
"RPS29",7.0211990703786e-171,-0.583354491923814,0.99,0.997,1.2499840704995e-166
"MT-CO3",4.06446112939797e-168,-0.716725459578206,0.957,0.997,7.2359601486672e-164
"RPL6",1.09073649915411e-161,-0.583374869409288,0.968,0.999,1.94183818944405e-157
"MT-CO1",1.2138689713522e-158,-0.492098028526543,0.996,1,2.16105092969832e-154
"RPS6",5.22840851741485e-157,-0.500519166210661,0.995,1,9.30813568355365e-153
"RPL37A",3.45880709749506e-153,-0.528609863285645,0.976,0.998,6.15771427567045e-149
"RPLP2",1.23713507636396e-152,-0.438041290615464,0.994,1,2.20247157645075e-148
"RPL4",1.6632272078961e-144,-0.599017585398841,0.94,0.991,2.96104339821743e-140
"TPT1",9.72541094525455e-144,-0.42879214959202,0.999,1,1.73141491058367e-139
"RPL37",3.88998910580548e-138,-0.376522514066281,0.998,1,6.9253476050655e-134
"RPS2",1.42410578825938e-133,-0.516014157465926,0.989,1,2.53533553483818e-129
"RPS3A",2.18103583988045e-130,-0.397520817546913,0.999,1,3.88289810573916e-126
"PTPRCAP",6.33428938294827e-125,-0.667631050802528,0.646,0.924,1.12769353884628e-120
"STAT1",6.45007065498741e-124,-1.94951854291417,0.389,0.638,1.14830607870741e-119
"FP236383.3",1.76861363708174e-123,-0.696716569984048,0.837,0.996,3.14866285809663e-119
"LDHA",3.24003298556996e-120,1.08124235915965,0.927,0.847,5.7682307242102e-116
"PKM",6.70883591320571e-119,0.99429052464227,0.891,0.757,1.19437405762801e-114
"RPL21",2.11732553817928e-118,-0.446584591178427,0.989,0.998,3.76947465562058e-114
"RPL15",5.52571496253576e-112,-0.396684168861811,0.989,0.998,9.83743034780241e-108
"RPL10A",4.87561692625212e-111,-0.461290075789163,0.968,0.997,8.68006081380664e-107
"MTRNR2L12",3.95949613829885e-109,6.99558303711374,0.174,0.036,7.04909097501345e-105
"GAPDH",1.14418772414143e-107,1.05192305794495,0.969,0.931,2.03699740528899e-103
"MT-ATP8",1.60345950862424e-106,-0.562401230996249,0.933,0.992,2.85463896320374e-102
"RPSA",2.86306508324605e-106,-0.410926793813251,0.979,0.998,5.09711476770293e-102
"RPL5",3.26393902177541e-103,-0.364200240277374,0.993,0.999,5.81079064046677e-99
"RPS8",5.99932857839895e-102,-0.324871940331147,0.996,1,1.06806046681237e-97
"AL138963.4",4.96016718161815e-101,3.07167170174058,0.339,0.119,8.83058563343479e-97
"RPL23A",1.91918541213185e-98,-0.384053714316845,0.99,0.998,3.41672578921833e-94
"GPI",1.98319441313641e-97,1.24174394056555,0.773,0.61,3.53068101370675e-93
"GAREM1",6.67380283230209e-97,1.85793442784934,0.432,0.23,1.18813711823474e-92
"RPS4Y1",3.389760005915e-94,-2.26096306807914,0.087,0.336,6.03478973853048e-90
"SARAF",1.90248147434664e-93,0.586384095924307,0.995,0.995,3.38698776877933e-89
"LINC01578",2.25675505806018e-88,0.926221348870583,0.861,0.744,4.01770102986453e-84
"SRSF5",6.03457416877014e-88,0.694437461039452,0.92,0.841,1.07433523926615e-83
"CORO1B",1.3917470124319e-85,1.46715935277539,0.518,0.282,2.47772720623252e-81
"PGK1",1.19087913495663e-82,0.914317581177317,0.912,0.856,2.12012212396328e-78
"RAC2",5.96221381683794e-81,0.615708488401675,0.94,0.907,1.06145292581166e-76
"TSC22D3",4.35440825769507e-80,1.57829242975912,0.491,0.254,7.75215302117454e-76
"BNIP3L",1.47856796758287e-79,0.896838734902696,0.777,0.625,2.63229455268779e-75
"IGFBP2",2.34987371937631e-78,1.33588619126008,0.519,0.245,4.18348018260565e-74
"GBP4",9.08754558780103e-76,-1.68544210837006,0.225,0.445,1.61785574099622e-71
