"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","MF","GO:0042605","peptide antigen binding",16,0.813344627551997,2.71648625665935,1.4779110656553e-07,0.000976603632185021,0.000901992458807307,367,"tags=62%, list=8%, signal=58%","TRAV19/HLA-DQA1/HLA-DPB1/HLA-DRB5/HLA-DPA1/HLA-B/HLA-C/HLA-DRB1/TRGV3/HLA-F"
"2","BP","GO:0045785","positive regulation of cell adhesion",149,-0.483578967606032,-2.10657524917032,3.87516209948203e-07,0.00128035355766886,0.00118253630804194,585,"tags=26%, list=12%, signal=23%","PTPN11/HAVCR2/PIEZO1/ACTB/IL6ST/ARHGEF7/TGFBR2/SPOCK2/LGALS9/FLCN/RREB1/SMARCA4/IRAK1/BAG4/MALT1/C1QBP/EPHA4/TFE3/HLA-DMB/HSPD1/SMAD3/LIMS1/CD55/ICOS/CD27/TESPA1/PRKCA/SIRPG/RARA/EPHA1/TMIGD2/IL7R/CCR7/CD28/IGFBP2/SOX4/LEF1/AIF1"
"3","BP","GO:0008284","positive regulation of cell population proliferation",238,-0.422555624499895,-1.94406305179216,6.40849162173946e-07,0.00141157708788181,0.00130373454115247,485,"tags=19%, list=10%, signal=18%","SLC25A5/TGFBR2/MTA3/MARCKSL1/LGALS9/ZNF580/SINHCAF/PLCG1/SHMT2/RREB1/FAM98B/KDM5B/SMARCA4/IRAK1/SP1/EPHA4/HLA-DMB/NME1/NAMPT/CD38/RUNX2/NME2/TRAF5/CD55/AKT3/TSPO/HMOX1/CDCA7L/LDLRAP1/PRKCA/SIRPG/RARA/EPHA1/GPR183/PLAC8/TMIGD2/IL7R/TIAM1/MYC/CD28/IGFBP2/SOX4/LEF1/HAPLN3/AIF1"
"4","MF","GO:0003823","antigen binding",28,0.66641314368435,2.58276318949257,1.37341501197799e-06,0.00218890859040462,0.00202167898674111,367,"tags=50%, list=8%, signal=47%","TRAV19/HLA-DQA1/IGLV2-14/KLRC2/HLA-DPB1/HLA-DRB5/KLRD1/HLA-DPA1/HLA-B/HLA-C/HLA-DRB1/TRGV3/TAPBPL/HLA-F"
"5","CC","GO:0042101","T cell receptor complex",13,0.788887583002906,2.44841068414548,1.95406068231956e-06,0.00218890859040462,0.00202167898674111,474,"tags=54%, list=10%, signal=49%","TRAV19/TRBV3-1/TRGV2/TRGV3/CD8A/TRGC2/CD3G"
"6","BP","GO:0050863","regulation of T cell activation",138,-0.4790796727926,-2.0652879302827,2.9063277718544e-06,0.00218890859040462,0.00202167898674111,298,"tags=24%, list=6%, signal=23%","PTPN11/HAVCR2/RIPOR2/METTL3/ACTB/IL6ST/TGFBR2/LGALS9/SMARCA4/MALT1/PAG1/LGALS3/HLA-DMB/HSPD1/KAT2A/ADORA2A/CD55/CRTAM/ICOS/CD27/ZEB1/TESPA1/SIRPG/RARA/TMIGD2/TCF7/IL7R/CCR7/CD28/IGFBP2/SOX4/LEF1/AIF1"
"7","BP","GO:0030155","regulation of cell adhesion",226,-0.421543859538992,-1.91898113011534,2.98126170000629e-06,0.00218890859040462,0.00202167898674111,734,"tags=26%, list=15%, signal=23%","POLDIP2/RCC2/HLA-DMA/TSC1/CBLB/AP1AR/CORO1A/CD44/PTPN11/HAVCR2/PIEZO1/RIPOR2/METTL3/ACTB/IL6ST/SRF/ARHGEF7/PIK3CB/TGFBR2/SPOCK2/LGALS9/TESC/FLCN/ACTG1/RREB1/SMARCA4/IRAK1/BAG4/MALT1/C1QBP/PAG1/EPHA4/CXCR3/LGALS3/TFE3/HLA-DMB/HSPD1/SMAD3/CASK/LIMS1/PLXNC1/ADORA2A/CD55/CRTAM/ICOS/CD27/TESPA1/PRKCA/SIRPG/RARA/EPHA1/TMIGD2/IL7R/CCR7/CD28/IGFBP2/SOX4/LEF1/AIF1"
"8","BP","GO:0007155","cell adhesion",306,-0.392649979389309,-1.84168046185628,2.55789037463196e-06,0.00218890859040462,0.00202167898674111,734,"tags=24%, list=15%, signal=22%","POLDIP2/RCC2/HLA-DMA/ZYX/TSC1/CD2AP/CBLB/AP1AR/CORO1A/CD44/S100A11/PTPN11/HAVCR2/PIEZO1/RIPOR2/METTL3/ACTB/IL6ST/SRF/ARHGEF7/PIK3CB/TGFBR2/SPOCK2/LGALS9/TESC/FLCN/PARVG/ACTG1/RREB1/RPSA/SMARCA4/IRAK1/ITGAE/PPIA/BAG4/MALT1/C1QBP/PAG1/EPHA4/CXCR3/LGALS3/TFE3/HLA-DMB/ITGA1/HSPD1/SMAD3/CASK/LIMS1/LGALS3BP/NME2/PLXNC1/ADORA2A/CD55/CRTAM/ICOS/MFGE8/CD27/TESPA1/PRKCA/SIRPG/RARA/EPHA1/PECAM1/TMIGD2/SELL/IL7R/TIAM1/CCR7/CD28/IGFBP2/SOX4/LEF1/HAPLN3/AIF1"
"9","BP","GO:0051240","positive regulation of multicellular organismal process",372,-0.374802438854417,-1.78028606079339,2.55914775340498e-06,0.00218890859040462,0.00202167898674111,459,"tags=16%, list=9%, signal=16%","TRADD/ABCA7/SHLD2/SORL1/LGALS9/TESC/ZNF580/SINHCAF/PLCG1/RREB1/KDM5B/SMARCA4/IRAK1/SP1/MALT1/C1QBP/WARS2/FABP5/EPHA4/CUX1/CTNNBIP1/HSPD1/CD38/SMAD3/MAVS/POU2F2/RUNX2/FURIN/PRKAR1B/KAT2A/SPTBN1/NME2/PLXNC1/ADORA2A/CD55/CRTAM/AKT3/TSPO/YBX3/HMOX1/CD27/TESPA1/LDLRAP1/PRKCA/RARA/EPHA1/PLAC8/TMIGD2/CHD7/DBN1/IL7R/TIAM1/FCER1G/LTB/TXK/MYC/CCR7/CD28/SOX4/LEF1/AIF1"
"10","BP","GO:0031294","lymphocyte costimulation",13,-0.825995905239062,-2.19940232566312,3.7167508190686e-06,0.00231560236484274,0.00213869353118361,86,"tags=38%, list=2%, signal=38%","PTPN11/ICOS/TMIGD2/CCR7/CD28"
"11","BP","GO:0050870","positive regulation of T cell activation",92,-0.536443902690963,-2.18733808286063,5.2859479571525e-06,0.00231560236484274,0.00213869353118361,585,"tags=26%, list=12%, signal=23%","PTPN11/HAVCR2/ACTB/IL6ST/TGFBR2/LGALS9/SMARCA4/MALT1/HLA-DMB/HSPD1/CD55/ICOS/CD27/TESPA1/SIRPG/RARA/TMIGD2/IL7R/CCR7/CD28/IGFBP2/SOX4/LEF1/AIF1"
"12","BP","GO:0022409","positive regulation of cell-cell adhesion",106,-0.508373567677824,-2.11498134961984,4.45208508701159e-06,0.00231560236484274,0.00213869353118361,585,"tags=25%, list=12%, signal=22%","PTPN11/HAVCR2/PIEZO1/ACTB/IL6ST/TGFBR2/LGALS9/SMARCA4/IRAK1/MALT1/HLA-DMB/HSPD1/CD55/ICOS/CD27/TESPA1/SIRPG/RARA/TMIGD2/IL7R/CCR7/CD28/IGFBP2/SOX4/LEF1/AIF1"
"13","BP","GO:0022407","regulation of cell-cell adhesion",148,-0.461172377700971,-2.008863141651,4.06338308444591e-06,0.00231560236484274,0.00213869353118361,585,"tags=22%, list=12%, signal=20%","PTPN11/HAVCR2/PIEZO1/RIPOR2/METTL3/ACTB/IL6ST/TGFBR2/LGALS9/SMARCA4/IRAK1/MALT1/PAG1/LGALS3/HLA-DMB/HSPD1/ADORA2A/CD55/CRTAM/ICOS/CD27/TESPA1/PRKCA/SIRPG/RARA/TMIGD2/IL7R/CCR7/CD28/IGFBP2/SOX4/LEF1/AIF1"
"14","BP","GO:0045586","regulation of gamma-delta T cell differentiation",5,-0.958833888902233,-1.96994655202565,5.60678538702843e-06,0.00231560236484274,0.00213869353118361,35,"tags=60%, list=1%, signal=60%","TCF7/SOX4/LEF1"
"15","BP","GO:0046643","regulation of gamma-delta T cell activation",5,-0.958833888902233,-1.96994655202565,5.60678538702843e-06,0.00231560236484274,0.00213869353118361,35,"tags=60%, list=1%, signal=60%","TCF7/SOX4/LEF1"
"16","BP","GO:0050865","regulation of cell activation",204,-0.421036818324857,-1.89602870390395,4.94835630460886e-06,0.00231560236484274,0.00213869353118361,298,"tags=15%, list=6%, signal=15%","MALT1/PAG1/LGALS3/HLA-DMB/HSPD1/CD38/AHR/KAT2A/ADORA2A/CD55/CRTAM/ICOS/HMOX1/CD27/ZEB1/TESPA1/PRKCA/SIRPG/RARA/GPR183/TMIGD2/TCF7/IL7R/FCER1G/TXK/CCR7/CD28/IGFBP2/SOX4/LEF1/AIF1"
"17","BP","GO:1903039","positive regulation of leukocyte cell-cell adhesion",100,-0.518513646991978,-2.14352221687196,6.51423623720911e-06,0.00253212194443987,0.00233867131290021,342,"tags=25%, list=7%, signal=24%","PTPN11/HAVCR2/ACTB/IL6ST/TGFBR2/LGALS9/SMARCA4/IRAK1/MALT1/HLA-DMB/HSPD1/CD55/ICOS/CD27/TESPA1/SIRPG/RARA/TMIGD2/IL7R/CCR7/CD28/IGFBP2/SOX4/LEF1/AIF1"
"18","BP","GO:0007159","leukocyte cell-cell adhesion",141,-0.463860495473803,-2.00500196627075,7.6840825358548e-06,0.00267244302089097,0.00246827205223746,342,"tags=18%, list=7%, signal=17%","SMARCA4/IRAK1/MALT1/PAG1/LGALS3/HLA-DMB/HSPD1/ADORA2A/CD55/CRTAM/ICOS/CD27/TESPA1/SIRPG/RARA/PECAM1/TMIGD2/SELL/IL7R/CCR7/CD28/IGFBP2/SOX4/LEF1/AIF1"
