"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","hsa00010","Glycolysis / Gluconeogenesis",18,-0.717408776240168,-3.09941345301969,2.10009890425882e-07,3.94818594000659e-05,3.55911498511232e-05,432,"tags=89%, list=20%, signal=72%","5236/3098/230/5211/7167/5214/226/5223/2597/3939/5230/3099/2026/2023/2821/5315"
"2","hsa04141","Protein processing in endoplasmic reticulum",36,-0.468681778869548,-2.45897570269828,5.03898394694538e-06,0.000473664491012865,0.000426987587083266,327,"tags=44%, list=15%, signal=38%","23193/821/23471/811/7184/9601/7494/10525/23480/5034/596/3337/9709/3309/1649/23645"
"3","hsa04066","HIF-1 signaling pathway",37,-0.43860434069007,-2.31432508617723,1.47632175937274e-05,0.000925161635873584,0.000833992292136881,336,"tags=51%, list=15%, signal=44%","230/5211/7422/207/5214/6194/5335/226/5605/2597/3939/54583/5230/3099/2026/6513/2023/2872/596"
"4","hsa01200","Carbon metabolism",32,-0.448197223891266,-2.28083088074676,6.16289975105177e-05,0.00289656288299433,0.0026111233155772,336,"tags=50%, list=15%, signal=43%","230/5211/7167/5214/7086/226/5223/2597/5230/3099/2026/2023/2821/5315/26227/5723"
"5","hsa01230","Biosynthesis of amino acids",21,-0.534381638564663,-2.41352492554096,9.83849476621577e-05,0.00369927403209713,0.00333473191023314,336,"tags=67%, list=15%, signal=57%","230/5211/7167/5214/7086/226/5223/2597/5230/2026/2023/5315/26227/5723"
"6","hsa05207","Chemical carcinogenesis - receptor activation",29,-0.40093998472076,-1.97199197877988,0.000776320921061158,0.0208497618799283,0.0187951380888491,292,"tags=41%, list=13%, signal=36%","7422/207/7184/409/5605/4609/2778/3725/596/2353/196/2947"
"7","hsa05200","Pathways in cancer",79,-0.26485087085216,-1.69706487414854,0.000704204128561175,0.0208497618799283,0.0187951380888491,266,"tags=28%, list=12%, signal=25%","5880/207/7184/5900/5335/5605/54583/4609/894/6513/5292/51561/2778/3725/596/7423/4792/5734/27113/5732/2353/2947"
"8","hsa00051","Fructose and mannose metabolism",12,-0.622074822101096,-2.31797875001422,0.00100383343841809,0.0235900858028251,0.0212654188928043,402,"tags=83%, list=18%, signal=68%","3098/230/5211/7167/5214/226/231/4351/3099/5210"
"9","hsa04926","Relaxin signaling pathway",19,-0.46857048487897,-2.07010792973614,0.00171817167832261,0.0273944358179792,0.0246948721539454,292,"tags=47%, list=13%, signal=41%","7422/207/409/5605/2778/3725/7423/4792/2353"
"10","hsa05230","Central carbon metabolism in cancer",19,-0.467292854236144,-2.064463457004,0.00174858100965825,0.0273944358179792,0.0246948721539454,325,"tags=68%, list=15%, signal=59%","5163/3098/5211/207/5214/9123/5223/5605/3939/4609/3099/6513/5315"
"11","hsa04024","cAMP signaling pathway",26,-0.419378344900402,-2.0148798757875,0.00133212284875609,0.0273944358179792,0.0246948721539454,266,"tags=35%, list=12%, signal=31%","5880/207/5605/135/2778/3725/4792/5732/2353"
"12","hsa04621","NOD-like receptor signaling pathway",48,0.495343876531163,1.80321937777066,0.00164418852934257,0.0273944358179792,0.0246948721539454,382,"tags=38%, list=17%, signal=32%","115362/2633/6772/115361/6352/2635/834/114769/10010/6885/330/8737/2634/7186/6773/55054/10379/3709"
"13","hsa04015","Rap1 signaling pathway",30,-0.369176570276626,-1.86794988247425,0.00362746700369876,0.0469659510162721,0.0423377273998869,602,"tags=70%, list=28%, signal=51%","51466/208/387/54518/5906/801/2771/7094/71/10636/7422/6494/5880/207/5900/3689/5335/5605/135/2778/7423"
"14","hsa05418","Fluid shear stress and atherosclerosis",22,-0.406209668069663,-1.80312959818524,0.00374728332576639,0.0469659510162721,0.0423377273998869,292,"tags=41%, list=13%, signal=36%","7422/5880/207/7184/1843/3725/596/2353/2947"
"15","hsa00190","Oxidative phosphorylation",48,-0.294007490636704,-1.68874206789962,0.00336303987739745,0.0469659510162721,0.0423377273998869,1557,"tags=100%, list=71%, signal=29%","4726/9114/4707/4696/4708/516/6391/27068/4702/529/4728/10476/4725/4711/4706/126328/4713/10975/29796/4698/4697/9551/533/4709/1340/4715/4718/1350/4723/1329/521/522/51079/374291/517/55967/27089/513/54205/4716/9296/7381/9377/9550/1345/4720/155066"
"16","hsa05210","Colorectal cancer",21,-0.412274059410388,-1.86202827105656,0.00410865404119732,0.0482766849840686,0.0435192960942611,266,"tags=43%, list=12%, signal=38%","5880/207/5900/5605/4609/3725/596/27113/2353"
