"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","BP","GO:0002376","immune system process",298,0.421554871155924,2.08151469674172,6.85204417588238e-10,2.53251552740613e-06,2.37008601704731e-06,331,"tags=42%, list=25%, signal=41%","CCL8/IFI27/APOBEC3A/IFIT1/DUSP1/EGR1/IFIT3/RGS1/IFI44L/FOS/FFAR2/VEGFA/SMAD3/MX1/IFITM3/OASL/JUN/IFI44/FCGR1A/RASGRP4/ZFP36/KLF4/CCR2/CD101/KLF6/HLA-DRB5/NFIL3/TSC22D3/HERC5/CEBPD/NFKBIZ/TNFSF10/USP18/THBS1/SERPING1/GPI/TNFAIP3/JUND/ZFP36L1/ISG15/NDRG1/MX2/CD300E/OAS3/PECAM1/IFI6/VEGFB/LILRA5/CD300A/IRF7/S100A12/LAIR1/GAPT/JAML/CXCR4/OAS1/NFKBIA/KLF10/FCAR/FPR2/RNASET2/IRF2BP2/LFNG/TIPARP/PLEKHM2/GPR183/EIF2AK2/FCGR2B/FGL2/VSIR/ATF4/PRDM1/TMEM91/MIF/IFITM2/GAPDH/MYO1G/RARA/KLF13/RNASE6/AKAP17A/CD83/CNN2/CASP1/LILRB2/LILRB1/CMTM3/SIPA1/TRIM22/ADGRE5/CFP/LYL1/JUNB/TNFSF13B/OSCAR/DUSP3/MNDA/CSF3R/REL/SIN3A/IFNGR2/EVI2B/VAMP2/IGBP1/HLA-E/MAPK3/IFI35/STAT1/STAT2/GPSM3/PSMB9/PTK2B/WAS/LILRA6/DDT/DGKZ/RNF213/FAU/RHOG/PCBP2/RELB/MAFB/NOP53/CTNNBIP1/IRF1"
"2","BP","GO:0009605","response to external stimulus",276,0.41685971691601,2.03540986908596,1.98231937901437e-08,3.66332621241856e-05,3.42836919970591e-05,271,"tags=36%, list=21%, signal=36%","CCL8/IFI27/APOBEC3A/IFIT1/RETN/RNASE1/DUSP1/IFIT3/RGS1/IFI44L/FOS/FOSB/FFAR2/VEGFA/SMAD3/MX1/IFITM3/OASL/JUN/IFI44/FCGR1A/RASGRP4/FAM20A/ZFP36/KLF4/CCR2/CMPK2/NR4A2/HERC5/NFKBIZ/USP18/THBS1/SERPING1/GPI/TNFAIP3/JUND/NR1D2/ISG15/MX2/OAS3/IFI6/BTG2/VEGFB/LILRA5/DDIT3/IRF7/S100A12/DDIT4/ATF3/JAML/CXCR4/OAS1/NFKBIA/KLF10/FPR2/RNASET2/JUP/PITPNM1/CARD16/SPP1/SORL1/PLEKHM2/GPR183/EIF2AK2/FCGR2B/FGL2/ATF4/PRDM1/CAPN2/TXNIP/MIF/SEMA6B/STK24/IFITM2/GAPDH/RARA/TYMP/GABARAPL1/RNASE6/HSPA5/DSC2/CNN2/DAP/CASP1/LILRB2/MBD2/LILRB1/CMTM3/SIPA1/TRIM22/CFP/BNIP3L/PLXNB2/DUSP3/MNDA/CSF3R/REL/SIN3A/IFNGR2"
"3","BP","GO:0006950","response to stress",373,0.372490115703239,1.87384739814662,7.65149336288383e-08,9.42663982307287e-05,8.82203761067939e-05,339,"tags=38%, list=26%, signal=39%","CCL8/IFI27/APOBEC3A/IFIT1/SIGLEC1/RNASE1/DUSP1/EGR1/IFIT3/IFI44L/FOS/FFAR2/VEGFA/SMAD3/MX1/IFITM3/OASL/JUN/FCGR1A/ZFP36/KLF4/CCR2/TSC22D3/NR4A2/HERC5/CEBPD/NFKBIZ/USP18/THBS1/SERPING1/GPI/TNFAIP3/JUND/NR1D2/ZFP36L1/ISG15/NDRG1/MX2/OAS3/IFI6/BTG2/MTSS1/HSPA6/VEGFB/LILRA5/DDIT3/IRF7/S100A12/DGKA/DDIT4/ATF3/MSRB2/JAML/CXCR4/OAS1/NFKBIA/KLF10/RHOB/PHF1/FPR2/DUSP6/RNASET2/PPP1R15A/CARD16/SPP1/FAM162A/PLEKHM2/GADD45B/EIF2AK2/FCGR2B/FGL2/HK2/ATF4/PRDM1/CAPN2/TXNIP/CIRBP/MIF/MALAT1/STK24/IFITM2/GAPDH/IER5/YPEL3/GNAS/GABARAPL1/RNASE6/HSPA5/DSC2/CD83/PTTG1IP/PTGS1/CNN2/DAP/CASP1/LILRB2/MCL1/PPP1R15B/LILRB1/SIPA1/TRIM22/ADGRE5/CFP/BNIP3L/JUNB/DUSP3/MNDA/CSF3R/REL/SIN3A/IFNGR2/IGBP1/HLA-E/MAPK3/SGK1/ERO1A/IFI35/STAT1/STAT2/CLN3/GPSM3/PTK2B/WAS/RBBP6/SMCHD1/DDT/LMNA/DGKZ/RNF213/FAU/PCBP2/RELB/MAFB/NOP53/GLUL/CTNNBIP1/IRF1/UBXN1/SEC14L1/ADAR/DDX5"
"4","BP","GO:0009615","response to virus",67,0.600375843721658,2.36949280503845,1.26151194132065e-07,0.000116563703378028,0.00010908758524157,125,"tags=31%, list=10%, signal=30%","CCL8/IFI27/APOBEC3A/IFIT1/IFIT3/IFI44L/SMAD3/MX1/IFITM3/OASL/IFI44/HERC5/TNFAIP3/ISG15/MX2/OAS3/IFI6/IRF7/DDIT4/CXCR4/OAS1"
"5","BP","GO:0019079","viral genome replication",29,0.722521810306277,2.42316184877862,8.24545721476842e-07,0.000347938556086982,0.000325622606317448,128,"tags=38%, list=10%, signal=35%","CCL8/IFI27/APOBEC3A/IFIT1/MX1/IFITM3/OASL/ISG15/OAS3/OAS1/GRK2"
"6","BP","GO:0016032","viral process",69,0.566695041134771,2.2400762507043,6.68968558473783e-07,0.000347938556086982,0.000325622606317448,128,"tags=25%, list=10%, signal=23%","CCL8/IFI27/APOBEC3A/IFIT1/SIGLEC1/MX1/IFITM3/OASL/JUN/LY6E/ZFP36/ISG15/OAS3/IRF7/CXCR4/OAS1/GRK2"
"7","BP","GO:0000122","negative regulation of transcription by RNA polymerase II",78,0.55181104595723,2.23611512792525,8.61117389923461e-07,0.000347938556086982,0.000325622606317448,176,"tags=37%, list=14%, signal=34%","IFI27/EGR1/JDP2/FOSB/VEGFA/SMAD3/JUN/MXI1/ZFP36/KLF4/CBX4/NFIL3/NR4A2/JUND/NR1D2/MAFF/BTG2/DDIT3/IRF7/ATF3/KLF10/SAP30/SAMD1/IRF2BP2/ATF4/PRDM1/WWC3/IRF2BPL/TXNIP"
"8","BP","GO:0045087","innate immune response",106,0.510425038154384,2.20228249417794,9.41392197205037e-07,0.000347938556086982,0.000325622606317448,356,"tags=53%, list=27%, signal=42%","CCL8/IFI27/APOBEC3A/IFIT1/IFIT3/FFAR2/MX1/IFITM3/OASL/FCGR1A/HERC5/USP18/SERPING1/TNFAIP3/ISG15/MX2/OAS3/IFI6/LILRA5/IRF7/S100A12/OAS1/FPR2/RNASET2/PLEKHM2/EIF2AK2/FCGR2B/PRDM1/MIF/IFITM2/GAPDH/RNASE6/CASP1/LILRB1/TRIM22/CFP/MNDA/REL/SIN3A/IFNGR2/HLA-E/IFI35/STAT1/STAT2/PTK2B/WAS/FAU/PCBP2/RELB/IRF1/SEC14L1/ADAR/DDX3X/PLSCR1/CCL4/PAK1"
"9","BP","GO:0009607","response to biotic stimulus",177,0.43718232367919,2.05192287222728,6.26354807707104e-07,0.000347938556086982,0.000325622606317448,298,"tags=40%, list=23%, signal=36%","CCL8/IFI27/APOBEC3A/IFIT1/RNASE1/IFIT3/RGS1/IFI44L/FOS/FFAR2/SMAD3/MX1/IFITM3/OASL/IFI44/FCGR1A/FAM20A/ZFP36/KLF4/CMPK2/HERC5/USP18/SERPING1/TNFAIP3/JUND/ISG15/MX2/OAS3/IFI6/LILRA5/DDIT3/IRF7/S100A12/DDIT4/CXCR4/OAS1/NFKBIA/FPR2/RNASET2/CARD16/PLEKHM2/EIF2AK2/FCGR2B/FGL2/PRDM1/CAPN2/TXNIP/MIF/IFITM2/GAPDH/RARA/RNASE6/HSPA5/CASP1/LILRB2/PPP1R15B/LILRB1/TRIM22/CFP/BNIP3L/MNDA/REL/SIN3A/IFNGR2/HLA-E/MAPK3/IFI35/STAT1/STAT2/PTK2B/WAS"
"10","BP","GO:0044419","biological process involved in interspecies interaction between organisms",191,0.430040643831122,2.03646204483684,8.66840951774203e-07,0.000347938556086982,0.000325622606317448,172,"tags=26%, list=13%, signal=26%","CCL8/IFI27/APOBEC3A/IFIT1/SIGLEC1/RNASE1/IFIT3/RGS1/IFI44L/FOS/FFAR2/SMAD3/MX1/IFITM3/OASL/JUN/IFI44/FCGR1A/LY6E/FAM20A/ZFP36/CMPK2/HERC5/USP18/SERPING1/TNFAIP3/JUND/ISG15/MX2/OAS3/IFI6/LILRA5/IRF7/S100A12/DDIT4/CXCR4/OAS1/GRK2/NFKBIA/SAP30/FPR2/RNASET2/CARD16/PLEKHM2/EIF2AK2/FCGR2B/FGL2/PRDM1/CAPN2"
