"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTRNR2L12",1.23825204928264e-144,-1.41180498789487,0.251,0.957,2.20446012333789e-140
"RBFOX2",8.29881970068309e-92,3.8465434098777,0.638,0.145,1.47743887131261e-87
"APOO",2.75211035191083e-76,3.86413197226511,0.558,0.099,4.89958205950685e-72
"XCL1",9.18044546912055e-76,-1.6323676514323,0.631,0.964,1.63439470686753e-71
"MT-ATP6",2.05744465621022e-74,-1.85569853785129,0.852,0.918,3.66286872145105e-70
"VIM",2.5102957953854e-67,-1.47355526613135,0.704,0.925,4.46907960452462e-63
"PTPRCAP",4.57686582589513e-67,2.01732719182554,0.793,0.476,8.1481942298411e-63
"FP236383.3",2.50355123772229e-59,1.99985313247812,0.773,0.312,4.45707226851699e-55
"FOS",4.28903693594601e-48,-1.90493464035395,0.205,0.623,7.63577245706468e-44
"RPLP0",9.30976242993146e-47,-0.708238795048727,0.98,0.995,1.6574170054007e-42
"MT-ATP8",1.85244235357808e-45,1.0539559925099,0.971,0.93,3.29790312207506e-41
"HLA-A",6.29484477636272e-45,0.505444468890319,1,0.998,1.12067121553586e-40
"SPRY2",1.60945349401957e-44,-2.17601840402083,0.14,0.514,2.86531005540305e-40
"AL138963.4",2.74190752260428e-42,-1.69137674871554,0.245,0.63,4.88141796249239e-38
"JUND",3.03911628594419e-41,-0.931679208234095,0.711,0.947,5.41053872386645e-37
"AOAH",1.68346961775988e-38,1.1939630489593,0.826,0.7,2.99708096049792e-34
"XCL2",3.08486545505201e-38,-1.39215980983968,0.723,0.899,5.49198596962909e-34
"ENO1",4.28749292690996e-38,-0.667339304050199,0.886,0.995,7.63302365777779e-34
"KLF6",7.73428293123332e-37,-1.02409299902728,0.7,0.923,1.37693439024747e-32
"FP671120.4",9.49028991356688e-36,0.840482741226825,0.656,0.287,1.68955631331231e-31
"GNAS",2.39207775145104e-34,-0.682340120733192,0.712,0.952,4.2586160209083e-30
"EEF2",7.47226513119396e-34,-0.650037748439582,0.913,0.988,1.33028736130646e-29
"AL133415.1",8.05850603296208e-32,-2.21149573203826,0.106,0.396,1.43465582904824e-27
"PHLDA1",2.23332394807381e-31,-2.42235360301269,0.083,0.353,3.9759866247558e-27
"EEF1A1",3.12333504136986e-31,-0.411273505900089,1,1,5.56047337415076e-27
"PRF1",1.06087002536872e-30,0.967093057548436,0.896,0.821,1.88866690616392e-26
"PKM",1.16098987628507e-30,-0.662387690746104,0.792,0.966,2.06691027675032e-26
"CD74",8.82597232931018e-30,0.948463930427151,0.956,0.952,1.57128785378709e-25
"HLA-C",2.46535977061749e-29,0.508139617448607,1,0.998,4.38907999963032e-25
"HSP90AB1",2.76468630633318e-29,-1.11460078437067,0.653,0.841,4.92197103116496e-25
"GPI",1.16232298960435e-28,-0.675043370059151,0.687,0.932,2.06928361839263e-24
"RPLP1",1.6924291998622e-28,-0.399147607420223,0.999,1,3.01303170451467e-24
"ACTG1",8.6296351636186e-28,-0.883012019476431,0.94,0.981,1.53633394817902e-23
"CLIC3",1.02073894621669e-27,1.56804595968608,0.684,0.449,1.81722154594957e-23
"MIF",2.05736019349537e-27,-0.46650612269498,0.973,1,3.66271835247981e-23
"RPL9",9.4143858831258e-27,-0.464037093575748,0.966,0.995,1.67604311877289e-22
"GAPDH",1.08856764965579e-26,-0.421442391603066,0.998,1,1.9379769866822e-22
"HLA-B",1.06797159028603e-25,0.401867249990615,1,1,1.90130982218621e-21
"HOPX",3.22610095776404e-25,-0.670818081395642,0.848,0.961,5.74342753510733e-21
"ZBTB20",4.51016665805087e-25,1.71450286102072,0.462,0.242,8.02944970132797e-21
"VEGFB",8.73398192685674e-25,-0.604696875690943,0.43,0.732,1.5549108024383e-20
"TPI1",1.45362625829008e-24,-0.466329834558298,0.949,0.995,2.58789082763382e-20
"SPTSSB",5.03557019178258e-24,-7.84071379536049,0,0.106,8.96482561243054e-20
"RABGAP1L",6.90419860076995e-24,0.99801798505559,0.702,0.531,1.22915447689507e-19
"RPL8",8.14561926810995e-24,-0.378383530506992,0.995,1,1.45016459830161e-19
"EGR1",8.70193407706479e-24,-2.14036751895959,0.069,0.29,1.54920532373984e-19
"AC138123.1",1.78720464765414e-23,0.934066876479653,0.518,0.232,3.18176043421866e-19
"B2M",2.07295132381425e-23,0.332422480531593,1,1,3.69047524178651e-19
"PGK1",2.86541505801536e-23,-0.541031792646755,0.895,0.981,5.10129842778475e-19
"PSMB9",3.77704320789904e-23,0.685395524601913,0.88,0.804,6.72427002302266e-19
