"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD45RA",2.85012270702417e-05,-7.91682099168281,0.938,1,0.00399017178983383
"KLRB1",0.000191944147804152,-1.10147511873766,0.188,0.9,0.0268721806925813
"CD47",0.000399843376450246,0.85593653026523,0.281,0.9,0.0559780727030345
"CD24",0.000652085260659784,-7.88874486686201,0.156,0.1,0.0912919364923698
"TIGIT",0.000798202246870978,-7.00930187321105,0.125,0.7,0.111748314561937
"SIGLEC7",0.00283745892917393,-5.56462295053777,0.438,0.7,0.39724425008435
"IFNGR1",0.0040738651089476,-3.31073959226052,0,0.3,0.570341115252664
"ITGAM",0.00508942042235848,-4.6972082045838,0.219,0.4,0.712518859130187
"KLRG1",0.00576079564231393,-6.4431867006405,0.062,0.4,0.80651138992395
"MS4A1",0.00605130261301314,-7.40138743173866,0.188,0.1,0.84718236582184
"CD8A",0.00794697910659601,25.6595948344493,0.375,0,1
"KIR3DL1",0.00923687107081162,-8.49311116560299,0.062,0.4,1
"IGHM",0.0109671001714294,-6.00900745491121,0.938,1,1
"IL3RA",0.0146516536231618,-4.32140425337124,0.031,0.4,1
"SLAMF6",0.0157598550436845,-5.03072102964105,0.188,0.6,1
"CX3CR1",0.0174907775024183,-2.93205333439458,0.031,0.4,1
"KIR2DL3",0.0184496854740811,7.85458432621832,0.312,0,1
"ANPEP",0.0244352123320054,-2.66482110268048,0,0.2,1
"CD58",0.0244352123320054,-2.32324321469655,0,0.2,1
"IL2RA",0.0244352123320055,-3.31416929598141,0,0.2,1
"CD2",0.0276081654459026,4.76465674135808,0.281,0,1
"CD81",0.0400596632776818,-4.9884559449719,0.062,0.4,1
"BTLA",0.0409029715397399,0.42986943366401,0.25,0,1
"NT5E",0.0563962975981406,-3.70220100845752,0.031,0.3,1
"ITGAE",0.0600962369618482,3.7567922356853,0.219,0,1
"LAG3",0.0755065575012793,-2.74768548373914,0.031,0.3,1
"ITGA4",0.0790254236418522,-1.13034125775482,0.156,0.5,1
"CLEC4C",0.0877206920134091,-0.110991191981662,0.188,0,1
"CR2",0.0877206920134094,5.84353133249463,0.188,0,1
"CD99",0.093520225461092,7.17280289357993,0.906,0.6,1
"SLAMF7",0.107214752036333,-2.57557639696282,0.031,0.2,1
"KLRK1",0.107214752036333,-1.16323863991074,0.031,0.2,1
"CD86",0.107214752036333,-0.581717147068056,0.031,0.2,1
"NCAM1",0.122151337135497,6.89361765537211,0.375,0.6,1
"SELL",0.127487487340535,6.82915698554444,0.156,0,1
"ITGA1",0.127487487340537,3.30972927806633,0.156,0,1
"TNFRSF4",0.14347776847395,-2.52820306465945,0,0.1,1
"FCER1A",0.143477768473951,-2.04092934288824,0,0.1,1
"CD36",0.143477768473951,-2.14156968601386,0,0.1,1
"HLA-E",0.143477768473953,-4.5682900186041,0,0.1,1
"CD33",0.143477768473953,-3.86593513413068,0,0.1,1
"TNFRSF14",0.143477768473953,-2.75176423083862,0,0.1,1
"SIGLEC1",0.143477768473953,-2.19355338187878,0,0.1,1
"LILRB1",0.143477768473953,-1.85847908878946,0,0.1,1
"TNFRSF13C",0.143477768473953,-1.79257809174949,0,0.1,1
