"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","BP","GO:0002396","MHC protein complex assembly",7,0.891840607210626,2.29906410189057,1.2538059840376e-06,0.000682383906812462,0.000624923298359792,64,"tags=100%, list=12%, signal=89%","HLA-DQA1/HLA-DRB5/HLA-DRA/HLA-DQB1/HLA-DPB1/HLA-DPA1/HLA-DRB1"
"2","BP","GO:0002399","MHC class II protein complex assembly",7,0.891840607210626,2.29906410189057,1.2538059840376e-06,0.000682383906812462,0.000624923298359792,64,"tags=100%, list=12%, signal=89%","HLA-DQA1/HLA-DRB5/HLA-DRA/HLA-DQB1/HLA-DPB1/HLA-DPA1/HLA-DRB1"
"3","BP","GO:0002501","peptide antigen assembly with MHC protein complex",7,0.891840607210626,2.29906410189057,1.2538059840376e-06,0.000682383906812462,0.000624923298359792,64,"tags=100%, list=12%, signal=89%","HLA-DQA1/HLA-DRB5/HLA-DRA/HLA-DQB1/HLA-DPB1/HLA-DPA1/HLA-DRB1"
"4","BP","GO:0002503","peptide antigen assembly with MHC class II protein complex",7,0.891840607210626,2.29906410189057,1.2538059840376e-06,0.000682383906812462,0.000624923298359792,64,"tags=100%, list=12%, signal=89%","HLA-DQA1/HLA-DRB5/HLA-DRA/HLA-DQB1/HLA-DPB1/HLA-DPA1/HLA-DRB1"
"5","BP","GO:0032502","developmental process",198,-0.283531961880957,-1.98993137236472,4.55499147051718e-06,0.00198324328626318,0.00181624291477043,146,"tags=40%, list=27%, signal=46%","ALDOC/VEGFB/CD151/RARA/ITGB1/RPLP0/PKM/HSPA5/ZFHX3/NFKBIA/EXOSC6/GPI/CSNK2A2/TESC/FABP5/DDIT3/ODC1/ACTG1/MBD2/S100A4/IMPDH2/IL4R/TESK1/AHR/NME1/ARMC5/PRR7/MYC/TNFSF14/IGFBP7/ITGAM/N4BP3/JUND/KLF10/IRAK1/GIT1/TPD52/SLC7A5/BTG2/HSP90AB1/NREP/PABPC4/KLF6/IGFBP2/LTB/RXRA/LGALS1/SNX10/DUSP1/PGAM5/SAMD1/SERPINE2/CAPG/CDK6/ARL4A/CSRNP1/PSPH/SPINK2/CD27/NR4A2/MFHAS1/MYADM/TYMS/VIM/TNFRSF12A/BATF3/SOCS2/TIE1/EGR2/PIK3R6/BCL2/MCM2/FOS/DUSP6/LMNA/LTA/EGR1/SPRY2/SGK1"
"6","BP","GO:0002495","antigen processing and presentation of peptide antigen via MHC class II",8,0.828758523492803,2.24560419360395,1.8209764880325e-05,0.00306437832494842,0.00280634023037609,64,"tags=88%, list=12%, signal=78%","HLA-DQA1/HLA-DRB5/HLA-DRA/HLA-DQB1/HLA-DPB1/HLA-DPA1/HLA-DRB1"
"7","BP","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",8,0.828758523492803,2.24560419360395,1.8209764880325e-05,0.00306437832494842,0.00280634023037609,64,"tags=88%, list=12%, signal=78%","HLA-DQA1/HLA-DRB5/HLA-DRA/HLA-DQB1/HLA-DPB1/HLA-DPA1/HLA-DRB1"
"8","BP","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II",8,0.828758523492803,2.24560419360395,1.8209764880325e-05,0.00306437832494842,0.00280634023037609,64,"tags=88%, list=12%, signal=78%","HLA-DQA1/HLA-DRB5/HLA-DRA/HLA-DQB1/HLA-DPB1/HLA-DPA1/HLA-DRB1"
"9","CC","GO:0032588","trans-Golgi network membrane",8,0.828758523492803,2.24560419360395,1.8209764880325e-05,0.00306437832494842,0.00280634023037609,64,"tags=88%, list=12%, signal=78%","HLA-DQA1/HLA-DRB5/HLA-DRA/HLA-DQB1/HLA-DPB1/HLA-DPA1/HLA-DRB1"
"10","CC","GO:0042613","MHC class II protein complex",8,0.828758523492803,2.24560419360395,1.8209764880325e-05,0.00306437832494842,0.00280634023037609,64,"tags=88%, list=12%, signal=78%","HLA-DQA1/HLA-DRB5/HLA-DRA/HLA-DQB1/HLA-DPB1/HLA-DPA1/HLA-DRB1"
